group,feature,n_rows,n_missing,missing_frac,n_unique,unique_ratio,normalized_entropy,is_numeric,numeric_min,numeric_max,numeric_mean,n_format_patterns,n_rule_violations,top_value,top_value_frac
Naproxen,Hepatic Impairment,221,0,0.0,17,0.0769,0.5887,False,,,,9,0,LFTs within normal limits,0.2896
Naproxen,Cardiac Impairment,221,0,0.0,28,0.1267,0.6727,False,,,,19,0,"Prehypertension (126/82), lifestyle-managed, not on medication",0.1946
Naproxen,Respiratory Impairment,221,0,0.0,13,0.0588,0.5254,False,,,,8,0,No respiratory disease,0.3484
Naproxen,Alcohol Use,221,47,0.2127,14,0.0805,0.6317,False,,,,10,0,"Occasional (1-2 drinks/week), none with medication",0.2874
Naproxen,Tobacco Use,221,0,0.0,9,0.0407,0.6887,False,,,,7,0,Never (nonsmoker),0.267
Naproxen,Substance Use,221,62,0.2805,8,0.0503,0.4277,False,,,,5,0,No recreational substance use,0.5346
Naproxen,Caffeine Intake,221,39,0.1765,6,0.033,0.9043,False,,,,4,0,Low (1 tea/day),0.2363
Naproxen,Current Medications,221,16,0.0724,51,0.2488,0.8042,False,,,,17,0,Acetaminophen PRN,0.1073
Naproxen,Foods (Last 24h),221,0,0.0,6,0.0271,0.9043,False,,,,5,0,Regular balanced meals; took dose with food and water,0.2353
Naproxen,Symptoms,221,0,0.0,60,0.2715,0.8421,False,,,,18,0,Joint pain,0.2172
Naproxen,Diagnosis,221,0,0.0,147,0.6652,0.939,False,,,,35,0,Rheumatoid arthritis,0.0452
Naproxen,Dosage,221,0,0.0,34,0.1538,0.6258,False,,,,31,221,Naproxen (proposed),0.4253
Naproxen,Duration,221,0,0.0,30,0.1357,0.7023,False,,,,12,154,Proposed,0.4389
Naproxen,Prompt / Clinical Scenario,221,0,0.0,221,1.0,1.0,False,,,,165,0,A 70-year-old woman with osteoporosis on alendronate and chronic dyspepsia is prescribed naproxen.,0.0045
Naproxen,Risk_Categories,221,0,0.0,54,0.2443,0.6759,False,,,,1,0,"{""Allergy & Adverse Drug Reaction Risk"": false, ""Drug-Drug Interaction Risk"": false, ""Drug-Food Interaction Risk"": false, ""Dosage & Toxicity Risk"": false, ""Renal Impairment Risk"": false, ""Hepatic Impairment Risk"": false, ""Cardiac Impairment Risk"": false, ""Respiratory Impairment Risk"": false, ""Bleeding Risk"": false, ""Infection Risk"": false, ""Pregnancy & Breastfeeding Risk"": false, ""Alcohol Use Risk"": false, ""Tobacco Use Risk"": false, ""Substance Use Risk"": false, ""Caffeine Intake Risk"": false, ""Weight/BMI Risk"": false, ""Age Risk"": false}",0.4525
Naproxen,Is_Safe,221,0,0.0,2,0.009,0.9935,False,,,,1,0,False,0.5475
Naproxen,Reasoning,221,0,0.0,203,0.9186,0.9947,False,,,,179,0,"Aluminum hydroxide is only a minor interaction with naproxen (may slightly affect absorption if taken together); separating doses makes co-use acceptable. No major/moderate interaction, disease contraindication, allergy, organ impairment, or pregnancy applies, so all risk categories are false and the scenario is safe.",0.009
Morphine,Patient ID,190,0,0.0,190,1.0,1.0,True,151.0,340.0,245.5,1,0,340,0.0053
Morphine,Age (year),190,0,0.0,59,0.3105,0.9585,True,0.0,88.0,49.453,1,0,55.0,0.0474
Morphine,Gender,190,0,0.0,2,0.0105,0.9864,False,,,,1,0,Male,0.5684
Morphine,Weight (kg),190,0,0.0,42,0.2211,0.8744,True,1.4,122.0,72.987,2,0,70,0.1
Morphine,Height (cm),190,0,0.0,31,0.1632,0.8918,True,42.0,183.0,168.495,1,0,176,0.1053
Morphine,BMI,190,0,0.0,67,0.3526,0.9207,True,7.9,38.5,25.175,1,1,25.8,0.0632
Morphine,Genetic Disorders,190,31,0.1632,14,0.0881,0.9068,False,,,,9,0,Gilbert syndrome (incidental),0.1069
Morphine,Chronic Conditions,190,49,0.2579,126,0.8936,0.9887,False,,,,56,0,Chronic pain,0.0284
Morphine,Pregnancy / Breastfeeding,190,0,0.0,6,0.0316,0.6276,False,,,,5,0,Not applicable (male),0.5789
Morphine,Drug Allergies,190,32,0.1684,12,0.0759,0.8761,False,,,,9,0,Penicillin (rash),0.1392
Morphine,Renal Impairment,190,0,0.0,29,0.1526,0.3058,False,,,,2,0,None (CrCl 95 mL/min),0.8263
Morphine,Hepatic Impairment,190,183,0.9632,3,0.4286,0.9821,False,,,,1,0,Severe (Child-Pugh C),0.4286
Morphine,Cardiac Impairment,190,169,0.8895,18,0.8571,0.9848,False,,,,15,0,Stable CAD,0.0952
Morphine,Respiratory Impairment,190,176,0.9263,13,0.9286,0.9903,False,,,,13,0,"Mild persistent asthma, controlled, monitored",0.1429
Morphine,Alcohol Use,190,171,0.9,16,0.8421,0.983,False,,,,11,0,Acutely intoxicated,0.1053
Morphine,Tobacco Use,190,0,0.0,19,0.1,0.5127,False,,,,9,0,Never,0.5789
Morphine,Substance Use,190,184,0.9684,6,1.0,1.0,False,,,,4,0,"Opioid use disorder, on methadone maintenance",0.1667
Morphine,Caffeine Intake,190,159,0.8368,8,0.2581,0.8781,False,,,,4,0,Moderate (2 cups coffee/day),0.2581
Morphine,Current Medications,190,69,0.3632,111,0.9174,0.9916,False,,,,34,0,Acetaminophen 500 mg PO three times daily,0.0331
Morphine,Foods (Last 24h),190,0,0.0,49,0.2579,0.8,False,,,,9,0,Broth,0.1895
Morphine,Symptoms,190,0,0.0,146,0.7684,0.9243,False,,,,68,0,Acute post-operative pain,0.1316
Morphine,Diagnosis,190,0,0.0,148,0.7789,0.9666,False,,,,31,0,Acute renal colic,0.0474
Morphine,Dosage,190,0,0.0,39,0.2053,0.7579,False,,,,16,190,10 mg PO every 4 hours as needed,0.2
Morphine,Duration,190,0,0.0,16,0.0842,0.7367,False,,,,6,57,chronic (ongoing),0.2737
Morphine,Prompt / Clinical Scenario,190,0,0.0,190,1.0,1.0,False,,,,153,0,32F with mild asthma on inhaled fluticasone (well-controlled) needs post-op analgesia in a monitored unit. IV morphine is proposed. Is this safe?,0.0053
Morphine,Risk_Categories,190,0,0.0,44,0.2316,0.6251,False,,,,1,0,"{""Allergy & Adverse Drug Reaction Risk"": false, ""Drug-Drug Interaction Risk"": false, ""Drug-Food Interaction Risk"": false, ""Dosage & Toxicity Risk"": false, ""Renal Impairment Risk"": false, ""Hepatic Impairment Risk"": false, ""Cardiac Impairment Risk"": false, ""Respiratory Impairment Risk"": false, ""Bleeding Risk"": false, ""Infection Risk"": false, ""Pregnancy & Breastfeeding Risk"": false, ""Alcohol Use Risk"": false, ""Tobacco Use Risk"": false, ""Substance Use Risk"": false, ""Caffeine Intake Risk"": false, ""Weight/BMI Risk"": false, ""Age Risk"": false}",0.4737
Morphine,Is_Safe,190,0,0.0,2,0.0105,0.998,False,,,,1,0,False,0.5263
Morphine,Reasoning,190,0,0.0,190,1.0,1.0,False,,,,189,0,"Inhaled fluticasone is not a documented interactant, and mild well-controlled asthma in a monitored unit is not the acute/severe unmonitored asthma the label contraindicates. A standard monitored IV dose is appropriate.",0.0053
Ibuprofen,Patient ID,170,0,0.0,170,1.0,1.0,True,4245.0,4414.0,4329.5,1,0,4414,0.0059
Ibuprofen,Age (year),170,0,0.0,64,0.3765,0.9551,True,0.008,84.0,44.737,1,0,44.0,0.0529
Ibuprofen,Gender,170,0,0.0,2,0.0118,0.9984,False,,,,1,0,Male,0.5235
Ibuprofen,Weight (kg),170,0,0.0,46,0.2706,0.8975,True,1.0,108.0,70.174,2,0,70,0.1
Ibuprofen,Height (cm),170,0,0.0,39,0.2294,0.8586,True,37.0,183.0,164.153,1,0,178,0.1
Ibuprofen,BMI,170,0,0.0,61,0.3588,0.9273,True,7.3,34.1,24.651,1,4,26.5,0.0647
Ibuprofen,Genetic Disorders,170,166,0.9765,4,1.0,1.0,False,,,,3,0,Phenylketonuria,0.25
Ibuprofen,Chronic Conditions,170,0,0.0,134,0.7882,0.9594,False,,,,56,0,Osteoarthritis,0.0824
Ibuprofen,Pregnancy / Breastfeeding,170,0,0.0,7,0.0412,0.6187,False,,,,5,0,Not applicable (male),0.5235
Ibuprofen,Drug Allergies,170,157,0.9235,13,1.0,1.0,False,,,,7,0,Ibuprofen (urticaria and angioedema),0.0769
Ibuprofen,Renal Impairment,170,0,0.0,42,0.2471,0.8943,False,,,,2,0,None (CrCl 100 mL/min),0.1059
Ibuprofen,Hepatic Impairment,170,133,0.7824,21,0.5676,0.9174,False,,,,11,0,Mild (Child-Pugh A),0.1892
Ibuprofen,Cardiac Impairment,170,159,0.9353,10,0.9091,0.9867,False,,,,8,0,Controlled hypertension on amlodipine,0.1818
Ibuprofen,Respiratory Impairment,170,165,0.9706,3,0.6,0.865,False,,,,2,0,"Severe persistent asthma, nasal polyps",0.6
Ibuprofen,Alcohol Use,170,102,0.6,17,0.25,0.5724,False,,,,11,0,1 beer/week,0.6324
Ibuprofen,Tobacco Use,170,0,0.0,19,0.1118,0.4735,False,,,,4,0,Never,0.7
Ibuprofen,Substance Use,170,168,0.9882,2,1.0,1.0,False,,,,2,0,Occasional cannabis (weekend use),0.5
Ibuprofen,Caffeine Intake,170,14,0.0824,6,0.0385,0.6173,False,,,,1,0,2 cups coffee/day,0.5769
Ibuprofen,Current Medications,170,45,0.2647,107,0.856,0.9822,False,,,,41,0,Prenatal vitamins,0.048
Ibuprofen,Foods (Last 24h),170,0,0.0,68,0.4,0.8285,False,,,,13,0,"Rice, chicken, salad",0.2118
Ibuprofen,Symptoms,170,0,0.0,71,0.4176,0.8158,False,,,,11,0,Knee pain,0.2118
Ibuprofen,Diagnosis,170,0,0.0,24,0.1412,0.7783,False,,,,10,0,Osteoarthritis of the knee,0.2294
Ibuprofen,Dosage,170,0,0.0,20,0.1176,0.4733,False,,,,19,170,400 mg PO every 6 hours,0.5647
Ibuprofen,Duration,170,0,0.0,8,0.0471,0.9295,False,,,,3,21,5 days,0.2529
Ibuprofen,Prompt / Clinical Scenario,170,0,0.0,170,1.0,1.0,False,,,,102,0,49-year-old woman with several benign conditions and medications requests ibuprofen for an osteoarthritis flare. Is this safe?,0.0059
Ibuprofen,Risk_Categories,170,0,0.0,39,0.2294,0.6745,False,,,,1,0,"{""Allergy & Adverse Drug Reaction Risk"": false, ""Drug-Drug Interaction Risk"": false, ""Drug-Food Interaction Risk"": false, ""Dosage & Toxicity Risk"": false, ""Renal Impairment Risk"": false, ""Hepatic Impairment Risk"": false, ""Cardiac Impairment Risk"": false, ""Respiratory Impairment Risk"": false, ""Bleeding Risk"": false, ""Infection Risk"": false, ""Pregnancy & Breastfeeding Risk"": false, ""Alcohol Use Risk"": false, ""Tobacco Use Risk"": false, ""Substance Use Risk"": false, ""Caffeine Intake Risk"": false, ""Weight/BMI Risk"": false, ""Age Risk"": false}",0.4706
Ibuprofen,Is_Safe,170,0,0.0,2,0.0118,0.9975,False,,,,1,0,False,0.5294
Ibuprofen,Reasoning,170,0,0.0,170,1.0,1.0,False,,,,170,0,"None of her medications (levothyroxine, loratadine, vitamin D3) is a documented interacting drug, her remote former smoking and light weekly drinking are not the current-use patterns tied to GI bleeding, and renal function is preserved. Osteoarthritis is a labeled indication and there is no allergy or bleeding contraindication. The labeled course is safe, illustrating that multiple benign findings together remain non-decisive.",0.0059
Olanzapine (oral tablet),Patient ID,158,0,0.0,158,1.0,1.0,True,2219.0,2379.0,2299.019,1,0,2379,0.0063
Olanzapine (oral tablet),Age (year),158,0,0.0,58,0.3671,0.8999,True,9.0,85.0,42.848,1,0,45.0,0.1709
Olanzapine (oral tablet),Gender,158,0,0.0,2,0.0127,0.9579,False,,,,1,0,Male,0.6203
Olanzapine (oral tablet),Weight (kg),158,0,0.0,37,0.2342,0.8625,True,30.0,118.0,73.905,1,0,80,0.2025
Olanzapine (oral tablet),Height (cm),158,0,0.0,31,0.1962,0.8697,True,132.0,185.0,171.994,1,0,178,0.2215
Olanzapine (oral tablet),BMI,158,0,0.0,45,0.2848,0.8408,True,17.2,42.1,24.909,1,0,25.2,0.2152
Olanzapine (oral tablet),Genetic Disorders,158,158,1.0,0,0.0,0.0,False,,,,0,0,,
Olanzapine (oral tablet),Chronic Conditions,158,0,0.0,56,0.3544,0.628,False,,,,30,0,Schizophrenia,0.4494
Olanzapine (oral tablet),Pregnancy / Breastfeeding,158,154,0.9747,4,1.0,1.0,False,,,,3,0,"Pregnant, 34 weeks (third trimester)",0.25
Olanzapine (oral tablet),Drug Allergies,158,0,0.0,3,0.019,0.0698,False,,,,3,0,None known,0.9873
Olanzapine (oral tablet),Renal Impairment,158,157,0.9937,1,1.0,0.0,False,,,,1,0,Mild (eGFR 70),1.0
Olanzapine (oral tablet),Hepatic Impairment,158,155,0.981,3,1.0,1.0,False,,,,3,0,Cirrhosis (Child-Pugh B),0.3333
Olanzapine (oral tablet),Cardiac Impairment,158,150,0.9494,8,1.0,1.0,False,,,,4,0,None (BP controlled on lisinopril),0.125
Olanzapine (oral tablet),Respiratory Impairment,158,155,0.981,3,1.0,1.0,False,,,,2,0,COPD with CO2 retention,0.3333
Olanzapine (oral tablet),Alcohol Use,158,150,0.9494,8,1.0,1.0,False,,,,6,0,Heavy (drinks daily),0.125
Olanzapine (oral tablet),Tobacco Use,158,0,0.0,4,0.0253,0.0829,False,,,,4,0,Never,0.981
Olanzapine (oral tablet),Substance Use,158,155,0.981,3,1.0,1.0,False,,,,3,0,Illicit opioid use,0.3333
Olanzapine (oral tablet),Caffeine Intake,158,0,0.0,4,0.0253,0.1042,False,,,,3,0,Low (occasional),0.9747
Olanzapine (oral tablet),Current Medications,158,106,0.6709,49,0.9423,0.9921,False,,,,13,0,Fluoxetine,0.0577
Olanzapine (oral tablet),Foods (Last 24h),158,0,0.0,5,0.0316,0.0952,False,,,,5,0,Regular balanced meals,0.9747
Olanzapine (oral tablet),Symptoms,158,1,0.0063,47,0.2994,0.542,False,,,,16,0,None reported,0.5541
Olanzapine (oral tablet),Diagnosis,158,0,0.0,79,0.5,0.7346,False,,,,24,0,Schizophrenia,0.3354
Olanzapine (oral tablet),Dosage,158,0,0.0,13,0.0823,0.4765,False,,,,8,158,10 mg orally once daily,0.6709
Olanzapine (oral tablet),Duration,158,0,0.0,5,0.0316,0.1134,False,,,,3,3,Ongoing,0.9684
Olanzapine (oral tablet),Prompt / Clinical Scenario,158,0,0.0,158,1.0,1.0,False,,,,99,0,"A patient on olanzapine develops rash, fever, swollen glands, and bruising.",0.0063
Olanzapine (oral tablet),Risk_Categories,158,0,0.0,42,0.2658,0.6657,False,,,,1,0,"{""Allergy & Adverse Drug Reaction Risk"": false, ""Drug-Drug Interaction Risk"": false, ""Drug-Food Interaction Risk"": false, ""Dosage & Toxicity Risk"": false, ""Renal Impairment Risk"": false, ""Hepatic Impairment Risk"": false, ""Cardiac Impairment Risk"": false, ""Respiratory Impairment Risk"": false, ""Bleeding Risk"": false, ""Infection Risk"": false, ""Pregnancy & Breastfeeding Risk"": false, ""Alcohol Use Risk"": false, ""Tobacco Use Risk"": false, ""Substance Use Risk"": false, ""Caffeine Intake Risk"": false, ""Weight/BMI Risk"": false, ""Age Risk"": false}",0.4684
Olanzapine (oral tablet),Is_Safe,158,0,0.0,2,0.0127,0.9971,False,,,,1,0,False,0.5316
Olanzapine (oral tablet),Reasoning,158,0,0.0,155,0.981,0.9986,False,,,,122,0,"10 mg is within the approved adult range for schizophrenia (max 20 mg/day). No conflicting medications, no contraindicated diseases, dose within the approved range, and no alcohol/food, pregnancy, metabolic, or age red flags were identified from the reference constraints. The scenario is safe.",0.0127
Warfarin,Patient ID,150,0,0.0,150,1.0,1.0,True,1.0,150.0,75.5,1,0,150,0.0067
Warfarin,Age (year),150,0,0.0,49,0.3267,0.9551,True,28.0,88.0,53.74,1,0,58.0,0.0533
Warfarin,Gender,150,0,0.0,2,0.0133,0.9937,False,,,,1,0,Male,0.5467
Warfarin,Weight (kg),150,0,0.0,35,0.2333,0.9167,True,48.0,120.0,75.327,1,0,80,0.0933
Warfarin,Height (cm),150,0,0.0,24,0.16,0.9217,True,156.0,182.0,170.733,1,0,178,0.1133
Warfarin,BMI,150,0,0.0,49,0.3267,0.9128,True,17.0,37.9,25.741,1,0,25.9,0.08
Warfarin,Genetic Disorders,150,121,0.8067,6,0.2069,0.6322,False,,,,4,0,Prothrombin G20210A mutation,0.5862
Warfarin,Chronic Conditions,150,0,0.0,89,0.5933,0.8332,False,,,,25,0,Atrial fibrillation,0.2133
Warfarin,Pregnancy / Breastfeeding,150,0,0.0,7,0.0467,0.6044,False,,,,5,0,Not applicable (male),0.5467
Warfarin,Drug Allergies,150,0,0.0,15,0.1,0.737,False,,,,8,0,None known,0.3733
Warfarin,Renal Impairment,150,0,0.0,20,0.1333,0.6211,False,,,,3,0,None (CrCl 95 mL/min),0.4667
Warfarin,Hepatic Impairment,150,145,0.9667,4,0.8,0.961,False,,,,3,0,Severe (Child-Pugh C),0.4
Warfarin,Cardiac Impairment,150,33,0.22,19,0.1624,0.7312,False,,,,13,0,Well-controlled hypertension,0.2564
Warfarin,Respiratory Impairment,150,108,0.72,7,0.1667,0.739,False,,,,6,0,Mild intermittent asthma,0.3333
Warfarin,Alcohol Use,150,45,0.3,15,0.1429,0.7345,False,,,,8,0,"Social, 1-2 drinks/week",0.1905
Warfarin,Tobacco Use,150,0,0.0,11,0.0733,0.6564,False,,,,8,0,Never,0.3733
Warfarin,Substance Use,150,98,0.6533,2,0.0385,0.1371,False,,,,2,0,Occasional cannabis use,0.9808
Warfarin,Caffeine Intake,150,0,0.0,5,0.0333,0.1184,False,,,,4,0,Moderate (1-2 cups coffee/day),0.9667
Warfarin,Current Medications,150,0,0.0,103,0.6867,0.8756,False,,,,35,0,Warfarin,0.2267
Warfarin,Foods (Last 24h),150,0,0.0,15,0.1,0.7544,False,,,,13,0,"Eggs, toast, pasta; consistent moderate greens",0.16
Warfarin,Symptoms,150,65,0.4333,75,0.8824,0.9874,False,,,,21,0,Leg swelling,0.0471
Warfarin,Diagnosis,150,0,0.0,150,1.0,1.0,False,,,,41,0,DVT with ongoing heavy daily alcohol use,0.0067
Warfarin,Dosage,150,0,0.0,6,0.04,0.1115,False,,,,2,150,Warfarin 5 mg PO once daily,0.9667
Warfarin,Duration,150,0,0.0,2,0.0133,0.2721,False,,,,2,150,chronic (ongoing),0.9533
Warfarin,Prompt / Clinical Scenario,150,0,0.0,150,1.0,1.0,False,,,,83,0,41-year-old man on warfarin for a DVT drinks heavily every day. Is this safe?,0.0067
Warfarin,Risk_Categories,150,0,0.0,30,0.2,0.6828,False,,,,1,0,"{""Allergy & Adverse Drug Reaction Risk"": false, ""Drug-Drug Interaction Risk"": false, ""Drug-Food Interaction Risk"": false, ""Dosage & Toxicity Risk"": false, ""Renal Impairment Risk"": false, ""Hepatic Impairment Risk"": false, ""Cardiac Impairment Risk"": false, ""Respiratory Impairment Risk"": false, ""Bleeding Risk"": false, ""Infection Risk"": false, ""Pregnancy & Breastfeeding Risk"": false, ""Alcohol Use Risk"": false, ""Tobacco Use Risk"": false, ""Substance Use Risk"": false, ""Caffeine Intake Risk"": false, ""Weight/BMI Risk"": false, ""Age Risk"": false}",0.4667
Warfarin,Is_Safe,150,0,0.0,2,0.0133,0.9968,False,,,,1,0,False,0.5333
Warfarin,Reasoning,150,0,0.0,150,1.0,1.0,False,,,,150,0,The label directs patients to avoid alcohol on warfarin; heavy daily intake destabilizes the INR and undermines reliable anticoagulation during active treatment of a clot. The ongoing heavy use is decisive.,0.0067
Trazodone,Patient ID,146,0,0.0,146,1.0,1.0,True,4099.0,4244.0,4171.5,1,0,4244,0.0068
Trazodone,Age (year),146,0,0.0,49,0.3356,0.969,True,15.0,78.0,48.404,1,0,47.0,0.0411
Trazodone,Gender,146,0,0.0,2,0.0137,0.9999,False,,,,1,0,Male,0.5068
Trazodone,Weight (kg),146,0,0.0,37,0.2534,0.9362,True,45.0,103.0,74.623,1,0,70,0.0822
Trazodone,Height (cm),146,0,0.0,27,0.1849,0.8831,True,157.0,183.0,170.993,1,0,178,0.1164
Trazodone,BMI,146,0,0.0,48,0.3288,0.8996,True,17.1,36.7,25.43,1,0,25.5,0.1233
Trazodone,Genetic Disorders,146,44,0.3014,11,0.1078,0.9062,False,,,,8,0,Hereditary lactose intolerance,0.1471
Trazodone,Chronic Conditions,146,3,0.0205,88,0.6154,0.8529,False,,,,31,0,Depression,0.2517
Trazodone,Pregnancy / Breastfeeding,146,0,0.0,6,0.0411,0.5939,False,,,,5,0,Not applicable (male),0.5068
Trazodone,Drug Allergies,146,0,0.0,14,0.0959,0.8752,False,,,,6,0,NKDA,0.3014
Trazodone,Renal Impairment,146,0,0.0,22,0.1507,0.6105,False,,,,2,0,None (CrCl 100 mL/min),0.3904
Trazodone,Hepatic Impairment,146,49,0.3356,5,0.0515,0.3487,False,,,,3,0,Normal hepatic function (LFTs normal),0.8557
Trazodone,Cardiac Impairment,146,66,0.4521,32,0.4,0.8424,False,,,,17,0,"Borderline hypertension, lifestyle-managed",0.125
Trazodone,Respiratory Impairment,146,77,0.5274,11,0.1594,0.8136,False,,,,11,0,Well-controlled mild asthma,0.1884
Trazodone,Alcohol Use,146,57,0.3904,16,0.1798,0.7933,False,,,,11,0,"Rare social, counseled to limit",0.1573
Trazodone,Tobacco Use,146,0,0.0,17,0.1164,0.7238,False,,,,9,0,Never,0.363
Trazodone,Substance Use,146,47,0.3219,9,0.0909,0.8619,False,,,,7,0,Occasional social cannabis,0.1919
Trazodone,Caffeine Intake,146,0,0.0,8,0.0548,0.2057,False,,,,2,0,Moderate (1-2 cups coffee/day),0.9178
Trazodone,Current Medications,146,45,0.3082,96,0.9505,0.995,False,,,,38,0,Amlodipine 5 mg PO daily,0.0297
Trazodone,Foods (Last 24h),146,0,0.0,7,0.0479,0.1259,False,,,,5,0,Regular balanced meals; dose taken after a light snack,0.9589
Trazodone,Symptoms,146,0,0.0,80,0.5479,0.831,False,,,,25,0,"Low mood, insomnia",0.2329
Trazodone,Diagnosis,146,0,0.0,58,0.3973,0.7018,False,,,,13,0,Major depressive disorder,0.4452
Trazodone,Dosage,146,0,0.0,12,0.0822,0.3729,False,,,,3,146,150 mg PO once daily,0.774
Trazodone,Duration,146,0,0.0,3,0.0205,0.0745,False,,,,3,145,chronic (ongoing),0.9863
